date,max_temp,min_temp
31-07-2026,29.1,19.4
01-08-2026,28.6,18.1
02-08-2026,32.4,17.3
03-08-2026,35.7,22.4
04-08-2026,32.4,23.4
05-08-2026,28.3,20.2
06-08-2026,25.9,17.9
07-08-2026,26.9,14.6
